signal_id,app_id,review_text,review_score,review_date,helpful_count
pm_app1_review_44,1,"Update: A new annoyance: the app pops up a ""permission denied"" notice and prompts ""allow access to contacts"" no less than 5 times in a single transaction. Transfer recipients are stored in the app and there is no reason whatsoever other than privacy intrusion that there is a need for access to my contacts. FIX THIS PLEASE. Looking for an alternative to WU. Customer support sucks. The app sucks. Fees are high.",1,2024-06-07,123
pm_app1_review_45,1,"I was attempting to send money to friend, very time sensitive. I entered my card info perfectly, only to be told at very end that that option wasn't available, and to give cash in person to agent (?). Why suggest 4 different options on app if you can only go in person, which is inefficient and unsafe during a pandemic? Oh and they still refuse to admit that they messed up my previous transaction despite clear evidence that they failed to follow legal and regulatory requirements",1,2020-11-10,2
pm_app1_review_46,1,"Constantly has issues or creates issues. UPDATE: I cancelled the last transfer because your app is too slow for the fees to be so high, and crashes constantly. But you didn't cancel, you wasted my time again and again. Then kept the transfer fee anyway. I'll begin using XE and other means to send money for much less cost and aggravation. Congratulations. Great job.",1,2021-03-03,3
pm_app1_review_47,1,"Doesn't work at all. Just waste your time. It's offers online transfers with a great deals and discounts. But once you spend a lot of time to complete it - always it write you that ""we're sorry we can't finish it online please find our location to finish it"". And fees immediately increase from 2.99$ to 34.99$ (for example but my last payemnts it was about this numbers). SCAM. WorldRemit, Xoom and many others much more better - it takes seconds to finish transaction with the lowest fee.",1,2021-05-17,35
pm_app1_review_48,1,"App is not rendering properly on Pixel 2XL. It looks strected with text cutting off on the edges of the screen. Update: I contacted your support and they were pretty much useless. I have shared screenshots of the app showing where the issue was and all i got in response was debugging methods for the western union website, nothing app specific.",1,2019-01-04,4
pm_app1_review_49,1,"It charged me for the price of using a CC $17.49 when I entered a debit card. WU has charged me twice for a $100 send when I only sent $100 to one person. When I caught it on my bank statement, I moved across the State and it got to late to dispute it along with 2 extra $10 charges. I sent money thru the app n chose the $5 fee for doing it in store n it charged me $40 nit $5. I have sent money many times on this this app but it only shows 2 in history. Would of liked All of them saved WU!!!!",1,2019-03-05,8
pm_app1_review_50,1,"I have used WU services dozens of times and it truly is the worst service I've ever experienced. The App shuts me out of my log in all the time. The brick and mortar locations are literally 75% of the time not functioning. I'm told the WU system is down, I cannot send or recieve money. I have driven from location to location and told the same thing. It was out for weeks at about 10 different locations in my area recently, so I just haven't been able to access my money for months. I gave up.",1,2022-10-27,55
pm_app1_review_51,1,"Slow, unintuitive, freakishly unhelpful, I can't redeem my points and slow... so slow, I listed it twice. 0 stars actually. Their customer service is even worse. I was told I'd be called in 1 hour and waited 90 minutes, called them, was put on hold for 10 more minutes and hung up.",1,2024-12-12,13
pm_app1_review_52,1,"One star is only because in the end, the app gets the job done. User experience, however, is terrible. The app marks all fields (except for the name) as optional, then during send, it tells you, they are required. The foreign country of my contract is clearly identified, yet it keeps asking for the US state when trying to send. It won't let me specify contact's address in the native language of that country, forcing me to transliterate every word, making the address meaningless to the receiver.",1,2019-12-22,32
pm_app1_review_53,1,"Completely useless. The app I no longer allowing you to send money online. Only in person. Customer service is a waste of time. No explanation as to why you can't send money. Just ""it's a federal reason"" and then no explanation as to why. You have points. You can't use them, but forever told in the app. You have points expiring soon. Western union isn't. Even in all locations. Stop & shop doesn't allow it even tho they should. Hate wasting time to send money, hunting for a store that has it.",1,2022-10-27,3
pm_app1_review_54,1,"Garbage app. No way to select/change home country, so I keep getting bill payment options for a country I don't live in. I'm not in the US, and only 1 app was offered for download. Why they would splice into country specific apps is beyond me, especially when a major component of their service is moving money across currency/borders. WU should have ended in the 1980's because they failed to keep up with the times.",1,2023-02-24,32
pm_app1_review_55,1,"WU will (randomly?) hold your money hostage, not allowing you to cancel a transaction while only providing a message that the transaction is in process and to check back shortly. Well, 8 days later after no notification of any problem I had to go through several departments until they informed me that I had to email them my ID. You know, the one I used to OPEN THE ACCOUNT. And that no I could not cancel the transfer, either. I will never use this ""service"" again.",1,2024-08-26,31
pm_app1_review_56,1,"A note to the owner or team that updates and controls the app, I use an Android phone, and I can no longer even open this app anymore, I don't know if it has a bug or what, but please see what you can to fix it. I click on it, and it immediately closes. I click on it again, and it immediately closes again. Cannot use the app at all. What's going on?",1,2023-10-08,6
pm_app1_review_57,1,"This app is horrible, sure. The app is extremely slow and unresponsive. Also there is no correlation between the app and coustmer service. In other words the app is in another galaxy. Also when entering senders information some how the middle name and second last name get transcribed. In other words the second last name will occupy the middle name when you go to edit the name. I have screen image if necessary. Thanks",1,2020-01-04,51
pm_app1_review_58,1,"Horrible experience. 4G service on my phone, app just spins and spins. Give up. Go to Walgreen's kiosk, no service there either. Call them, enter all the info, connects me with heavy accent person. Had to give her all the same info. Instead of paying $6.99 online, phone fee is $9.99. Next time I'll use paypal, very easy, no fees.",1,2019-09-07,20
pm_app1_review_59,1,"I've been a frequent user of this app since 2016. Started having issues using this app since 09/18. Every time I make an attempt to make a transaction an error message keeps popping up, ""We are unable to complete your transaction at this time, please visit an agent location."" It was once convenient to send remittances to my loved ones at the touch of a button. Now I am not able to do so due to technical issues the company refuses to fix. Customer service agents are of no help!! DISAPPOINTMENT!!!",1,2019-02-28,22
pm_app1_review_60,1,"It's painfully difficult to transfer money outside the US, 99% of it gives an error, and then randomly it works!!!!!!! It takes an average 20 attempts to be able to do it. :( I called costumer service, they told me they could not help me with an app related issue, because they have no control over the app, and they can't check what was done in the app.... And all of this was yesterday BTW....",1,2019-09-29,175
